rank_stage1,var_idx,best_iter,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,csv
0,180,0,1524.1920500568915,2028.336367357559,2028.5758051151192,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0000.csv
1,266,0,1526.8570448835544,2030.917874917756,2031.6113404123705,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0001.csv
2,112,0,1528.164374786185,2040.6073358915921,2043.0177469420219,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0002.csv
3,13,0,1529.765214959212,2034.298716742674,2035.0322925211067,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0003.csv
4,198,0,1532.1886834577772,2040.1818055727897,2041.3747840337087,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0004.csv
5,6,0,1536.5067481856072,2054.0200447766,2055.683572842366,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0005.csv
6,136,0,1536.5702644180487,2039.667042049827,2041.3456338485046,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0006.csv
7,208,0,1536.6104112464714,2039.6073932676652,2039.8573927863338,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0007.csv
8,196,0,1538.9558968932024,2050.9130441187535,2052.601826398713,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0008.csv
9,23,0,1540.991531225108,2052.746483523052,2054.187845458639,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0009.csv
10,54,0,2024.0614151307618,2027.972702370301,2028.4287478204167,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0010.csv
11,91,0,2026.5954672571238,2031.3536018676368,2031.8432760474604,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0011.csv
12,296,0,2026.8731263947484,2034.3501782971014,2034.8296382348751,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0012.csv
13,115,0,2026.9906926272251,2029.7024933900898,2030.172787679531,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0013.csv
14,44,0,2027.2883889521665,2031.4370251345288,2031.6574664420552,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0014.csv
15,240,0,2027.2884602871986,2033.6570720988493,2034.85859877437,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0015.csv
16,281,0,2027.301920495907,2030.0715665407015,2030.072376728875,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0016.csv
17,236,0,2027.3104091692314,2032.7927126735751,2033.2738261447091,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0017.csv
18,85,0,2027.7927890531591,2034.053646643285,2035.0209181021119,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0018.csv
19,46,0,2028.1498689159876,2031.7268094163505,2031.7272423681457,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0019.csv
20,290,0,2028.1727949759818,2038.379975435065,2039.8311917606975,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0020.csv
21,268,0,2028.4753700454082,2032.9949231722242,2033.2354791221537,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0021.csv
22,42,0,2028.5522891406265,2031.261128498815,2031.7265293121407,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0022.csv
23,71,0,2028.567655988096,2035.3647807007342,2036.5543000450932,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0023.csv
24,269,0,2028.5900422352452,2031.529993965026,2031.7686631233098,design_optimisation\optim_out_gui_hrf_noise\designs\cand_rank0024.csv
