rank_stage1,var_idx,best_iter,stage1_obj,stage1_obj_mean,stage1_obj_p95,stage1_obj_max,csv
0,385,0,1008.7147265720367,1008.7147265720367,1008.7147265720367,1008.7147265720367,design_optimisation\optim_out_v5_2\designs\cand_rank0000.csv
1,170,0,1009.6007609733908,1009.6007609733908,1009.6007609733908,1009.6007609733908,design_optimisation\optim_out_v5_2\designs\cand_rank0001.csv
2,1235,0,1009.6194418367279,1009.6194418367279,1009.6194418367279,1009.6194418367279,design_optimisation\optim_out_v5_2\designs\cand_rank0002.csv
3,1879,0,1009.6259142539164,1009.6259142539164,1009.6259142539164,1009.6259142539164,design_optimisation\optim_out_v5_2\designs\cand_rank0003.csv
4,1898,0,1009.6270376948358,1009.6270376948358,1009.6270376948358,1009.6270376948358,design_optimisation\optim_out_v5_2\designs\cand_rank0004.csv
5,1887,0,1009.628677138059,1009.628677138059,1009.628677138059,1009.628677138059,design_optimisation\optim_out_v5_2\designs\cand_rank0005.csv
6,819,0,1010.4241544745385,1010.4241544745385,1010.4241544745385,1010.4241544745385,design_optimisation\optim_out_v5_2\designs\cand_rank0006.csv
7,932,0,1010.4246074002662,1010.4246074002662,1010.4246074002662,1010.4246074002662,design_optimisation\optim_out_v5_2\designs\cand_rank0007.csv
8,974,0,1010.4257816677047,1010.4257816677047,1010.4257816677047,1010.4257816677047,design_optimisation\optim_out_v5_2\designs\cand_rank0008.csv
9,806,0,1010.4262865106022,1010.4262865106022,1010.4262865106022,1010.4262865106022,design_optimisation\optim_out_v5_2\designs\cand_rank0009.csv
10,961,0,1010.4499725748964,1010.4499725748964,1010.4499725748964,1010.4499725748964,design_optimisation\optim_out_v5_2\designs\cand_rank0010.csv
11,4,0,1010.4834153521731,1010.4834153521731,1010.4834153521731,1010.4834153521731,design_optimisation\optim_out_v5_2\designs\cand_rank0011.csv
12,341,0,1010.4844989232728,1010.4844989232728,1010.4844989232728,1010.4844989232728,design_optimisation\optim_out_v5_2\designs\cand_rank0012.csv
13,175,0,1010.4851405480418,1010.4851405480418,1010.4851405480418,1010.4851405480418,design_optimisation\optim_out_v5_2\designs\cand_rank0013.csv
14,256,0,1010.4871229744516,1010.4871229744516,1010.4871229744516,1010.4871229744516,design_optimisation\optim_out_v5_2\designs\cand_rank0014.csv
15,772,0,1010.4908560044765,1010.4908560044765,1010.4908560044765,1010.4908560044765,design_optimisation\optim_out_v5_2\designs\cand_rank0015.csv
16,957,0,1010.5023230070979,1010.5023230070979,1010.5023230070979,1010.5023230070979,design_optimisation\optim_out_v5_2\designs\cand_rank0016.csv
17,1788,0,1010.510336797336,1010.510336797336,1010.510336797336,1010.510336797336,design_optimisation\optim_out_v5_2\designs\cand_rank0017.csv
18,2172,0,1010.5162142462472,1010.5162142462472,1010.5162142462472,1010.5162142462472,design_optimisation\optim_out_v5_2\designs\cand_rank0018.csv
19,1642,0,1010.5163507082124,1010.5163507082124,1010.5163507082124,1010.5163507082124,design_optimisation\optim_out_v5_2\designs\cand_rank0019.csv
20,2084,0,1010.5186977580199,1010.5186977580199,1010.5186977580199,1010.5186977580199,design_optimisation\optim_out_v5_2\designs\cand_rank0020.csv
21,1357,0,1010.5233826867229,1010.5233826867229,1010.5233826867229,1010.5233826867229,design_optimisation\optim_out_v5_2\designs\cand_rank0021.csv
22,731,0,1010.543044850934,1010.543044850934,1010.543044850934,1010.543044850934,design_optimisation\optim_out_v5_2\designs\cand_rank0022.csv
23,825,0,1011.3422130805777,1011.3422130805777,1011.3422130805777,1011.3422130805777,design_optimisation\optim_out_v5_2\designs\cand_rank0023.csv
24,975,0,1011.348712007523,1011.348712007523,1011.348712007523,1011.348712007523,design_optimisation\optim_out_v5_2\designs\cand_rank0024.csv
25,121,0,1011.3671276516932,1011.3671276516932,1011.3671276516932,1011.3671276516932,design_optimisation\optim_out_v5_2\designs\cand_rank0025.csv
26,398,0,1011.3704230543774,1011.3704230543774,1011.3704230543774,1011.3704230543774,design_optimisation\optim_out_v5_2\designs\cand_rank0026.csv
27,741,0,1011.3711537236676,1011.3711537236676,1011.3711537236676,1011.3711537236676,design_optimisation\optim_out_v5_2\designs\cand_rank0027.csv
28,278,0,1011.3727272190644,1011.3727272190644,1011.3727272190644,1011.3727272190644,design_optimisation\optim_out_v5_2\designs\cand_rank0028.csv
29,128,0,1011.3743043050538,1011.3743043050538,1011.3743043050538,1011.3743043050538,design_optimisation\optim_out_v5_2\designs\cand_rank0029.csv
30,253,0,1011.376221290239,1011.376221290239,1011.376221290239,1011.376221290239,design_optimisation\optim_out_v5_2\designs\cand_rank0030.csv
31,693,0,1011.3786337788534,1011.3786337788534,1011.3786337788534,1011.3786337788534,design_optimisation\optim_out_v5_2\designs\cand_rank0031.csv
32,15,0,1011.3800057311277,1011.3800057311277,1011.3800057311277,1011.3800057311277,design_optimisation\optim_out_v5_2\designs\cand_rank0032.csv
33,338,0,1011.3804858767393,1011.3804858767393,1011.3804858767393,1011.3804858767393,design_optimisation\optim_out_v5_2\designs\cand_rank0033.csv
34,1028,0,1011.3806151947955,1011.3806151947955,1011.3806151947955,1011.3806151947955,design_optimisation\optim_out_v5_2\designs\cand_rank0034.csv
35,1092,0,1011.3811796264843,1011.3811796264843,1011.3811796264843,1011.3811796264843,design_optimisation\optim_out_v5_2\designs\cand_rank0035.csv
36,511,0,1011.393181541374,1011.393181541374,1011.393181541374,1011.393181541374,design_optimisation\optim_out_v5_2\designs\cand_rank0036.csv
37,1109,0,1011.3944444448356,1011.3944444448356,1011.3944444448356,1011.3944444448356,design_optimisation\optim_out_v5_2\designs\cand_rank0037.csv
38,1457,0,1011.3966801567316,1011.3966801567316,1011.3966801567316,1011.3966801567316,design_optimisation\optim_out_v5_2\designs\cand_rank0038.csv
39,2291,0,1011.3987500274932,1011.3987500274932,1011.3987500274932,1011.3987500274932,design_optimisation\optim_out_v5_2\designs\cand_rank0039.csv
40,1338,0,1011.400733042075,1011.400733042075,1011.400733042075,1011.400733042075,design_optimisation\optim_out_v5_2\designs\cand_rank0040.csv
41,2097,0,1011.4007599956246,1011.4007599956246,1011.4007599956246,1011.4007599956246,design_optimisation\optim_out_v5_2\designs\cand_rank0041.csv
42,2214,0,1011.4012465735914,1011.4012465735914,1011.4012465735914,1011.4012465735914,design_optimisation\optim_out_v5_2\designs\cand_rank0042.csv
43,2304,0,1011.4019549631059,1011.4019549631059,1011.4019549631059,1011.4019549631059,design_optimisation\optim_out_v5_2\designs\cand_rank0043.csv
44,2013,0,1011.4026161007808,1011.4026161007808,1011.4026161007808,1011.4026161007808,design_optimisation\optim_out_v5_2\designs\cand_rank0044.csv
45,1308,0,1011.4031483549302,1011.4031483549302,1011.4031483549302,1011.4031483549302,design_optimisation\optim_out_v5_2\designs\cand_rank0045.csv
46,1771,0,1011.4040882900257,1011.4040882900257,1011.4040882900257,1011.4040882900257,design_optimisation\optim_out_v5_2\designs\cand_rank0046.csv
47,1914,0,1011.4045418428318,1011.4045418428318,1011.4045418428318,1011.4045418428318,design_optimisation\optim_out_v5_2\designs\cand_rank0047.csv
48,1936,0,1011.4051548548149,1011.4051548548149,1011.4051548548149,1011.4051548548149,design_optimisation\optim_out_v5_2\designs\cand_rank0048.csv
49,1501,0,1011.4052144131276,1011.4052144131276,1011.4052144131276,1011.4052144131276,design_optimisation\optim_out_v5_2\designs\cand_rank0049.csv
50,1735,0,1011.405926815097,1011.405926815097,1011.405926815097,1011.405926815097,design_optimisation\optim_out_v5_2\designs\cand_rank0050.csv
51,1755,0,1011.4061500423362,1011.4061500423362,1011.4061500423362,1011.4061500423362,design_optimisation\optim_out_v5_2\designs\cand_rank0051.csv
52,1927,0,1011.4064905046382,1011.4064905046382,1011.4064905046382,1011.4064905046382,design_optimisation\optim_out_v5_2\designs\cand_rank0052.csv
53,1329,0,1011.4072217942302,1011.4072217942302,1011.4072217942302,1011.4072217942302,design_optimisation\optim_out_v5_2\designs\cand_rank0053.csv
54,1461,0,1011.4081386748298,1011.4081386748298,1011.4081386748298,1011.4081386748298,design_optimisation\optim_out_v5_2\designs\cand_rank0054.csv
55,2389,0,1011.4085793999127,1011.4085793999127,1011.4085793999127,1011.4085793999127,design_optimisation\optim_out_v5_2\designs\cand_rank0055.csv
56,1600,0,1011.4092275919243,1011.4092275919243,1011.4092275919243,1011.4092275919243,design_optimisation\optim_out_v5_2\designs\cand_rank0056.csv
57,1824,0,1011.4099900354634,1011.4099900354634,1011.4099900354634,1011.4099900354634,design_optimisation\optim_out_v5_2\designs\cand_rank0057.csv
58,2292,0,1011.4103933718367,1011.4103933718367,1011.4103933718367,1011.4103933718367,design_optimisation\optim_out_v5_2\designs\cand_rank0058.csv
59,635,0,1011.420383006317,1011.420383006317,1011.420383006317,1011.420383006317,design_optimisation\optim_out_v5_2\designs\cand_rank0059.csv
60,758,0,1011.4215277793435,1011.4215277793435,1011.4215277793435,1011.4215277793435,design_optimisation\optim_out_v5_2\designs\cand_rank0060.csv
61,608,0,1011.4219274042716,1011.4219274042716,1011.4219274042716,1011.4219274042716,design_optimisation\optim_out_v5_2\designs\cand_rank0061.csv
62,851,0,1012.2167527523244,1012.2167527523244,1012.2167527523244,1012.2167527523244,design_optimisation\optim_out_v5_2\designs\cand_rank0062.csv
63,981,0,1012.2267087096876,1012.2267087096876,1012.2267087096876,1012.2267087096876,design_optimisation\optim_out_v5_2\designs\cand_rank0063.csv
64,828,0,1012.2279593947318,1012.2279593947318,1012.2279593947318,1012.2279593947318,design_optimisation\optim_out_v5_2\designs\cand_rank0064.csv
65,821,0,1012.2387347609581,1012.2387347609581,1012.2387347609581,1012.2387347609581,design_optimisation\optim_out_v5_2\designs\cand_rank0065.csv
66,1065,0,1012.2397341221513,1012.2397341221513,1012.2397341221513,1012.2397341221513,design_optimisation\optim_out_v5_2\designs\cand_rank0066.csv
67,344,0,1012.2541039595236,1012.2541039595236,1012.2541039595236,1012.2541039595236,design_optimisation\optim_out_v5_2\designs\cand_rank0067.csv
68,935,0,1012.2587080739611,1012.2587080739611,1012.2587080739611,1012.2587080739611,design_optimisation\optim_out_v5_2\designs\cand_rank0068.csv
69,863,0,1012.2591637554967,1012.2591637554967,1012.2591637554967,1012.2591637554967,design_optimisation\optim_out_v5_2\designs\cand_rank0069.csv
70,369,0,1012.260903681087,1012.260903681087,1012.260903681087,1012.260903681087,design_optimisation\optim_out_v5_2\designs\cand_rank0070.csv
71,36,0,1012.2620285015702,1012.2620285015702,1012.2620285015702,1012.2620285015702,design_optimisation\optim_out_v5_2\designs\cand_rank0071.csv
72,73,0,1012.2640003761089,1012.2640003761089,1012.2640003761089,1012.2640003761089,design_optimisation\optim_out_v5_2\designs\cand_rank0072.csv
73,43,0,1012.2652684425178,1012.2652684425178,1012.2652684425178,1012.2652684425178,design_optimisation\optim_out_v5_2\designs\cand_rank0073.csv
74,74,0,1012.2664041612692,1012.2664041612692,1012.2664041612692,1012.2664041612692,design_optimisation\optim_out_v5_2\designs\cand_rank0074.csv
75,300,0,1012.2664518504228,1012.2664518504228,1012.2664518504228,1012.2664518504228,design_optimisation\optim_out_v5_2\designs\cand_rank0075.csv
76,112,0,1012.2691784202531,1012.2691784202531,1012.2691784202531,1012.2691784202531,design_optimisation\optim_out_v5_2\designs\cand_rank0076.csv
77,208,0,1012.270880637397,1012.270880637397,1012.270880637397,1012.270880637397,design_optimisation\optim_out_v5_2\designs\cand_rank0077.csv
78,756,0,1012.2711092011596,1012.2711092011596,1012.2711092011596,1012.2711092011596,design_optimisation\optim_out_v5_2\designs\cand_rank0078.csv
79,277,0,1012.2743819513826,1012.2743819513826,1012.2743819513826,1012.2743819513826,design_optimisation\optim_out_v5_2\designs\cand_rank0079.csv
80,512,0,1012.2748008642053,1012.2748008642053,1012.2748008642053,1012.2748008642053,design_optimisation\optim_out_v5_2\designs\cand_rank0080.csv
81,2253,0,1012.2805140295748,1012.2805140295748,1012.2805140295748,1012.2805140295748,design_optimisation\optim_out_v5_2\designs\cand_rank0081.csv
82,1971,0,1012.2840307250174,1012.2840307250174,1012.2840307250174,1012.2840307250174,design_optimisation\optim_out_v5_2\designs\cand_rank0082.csv
83,1993,0,1012.284423329018,1012.284423329018,1012.284423329018,1012.284423329018,design_optimisation\optim_out_v5_2\designs\cand_rank0083.csv
84,1932,0,1012.2864886139984,1012.2864886139984,1012.2864886139984,1012.2864886139984,design_optimisation\optim_out_v5_2\designs\cand_rank0084.csv
85,1686,0,1012.2866158269796,1012.2866158269796,1012.2866158269796,1012.2866158269796,design_optimisation\optim_out_v5_2\designs\cand_rank0085.csv
86,2349,0,1012.2867946825919,1012.2867946825919,1012.2867946825919,1012.2867946825919,design_optimisation\optim_out_v5_2\designs\cand_rank0086.csv
87,1271,0,1012.2868867208059,1012.2868867208059,1012.2868867208059,1012.2868867208059,design_optimisation\optim_out_v5_2\designs\cand_rank0087.csv
88,2228,0,1012.289896753264,1012.289896753264,1012.289896753264,1012.289896753264,design_optimisation\optim_out_v5_2\designs\cand_rank0088.csv
89,1414,0,1012.2908024276687,1012.2908024276687,1012.2908024276687,1012.2908024276687,design_optimisation\optim_out_v5_2\designs\cand_rank0089.csv
90,1517,0,1012.2908390688945,1012.2908390688945,1012.2908390688945,1012.2908390688945,design_optimisation\optim_out_v5_2\designs\cand_rank0090.csv
91,672,0,1012.2914631114265,1012.2914631114265,1012.2914631114265,1012.2914631114265,design_optimisation\optim_out_v5_2\designs\cand_rank0091.csv
92,618,0,1012.2915687472154,1012.2915687472154,1012.2915687472154,1012.2915687472154,design_optimisation\optim_out_v5_2\designs\cand_rank0092.csv
93,2277,0,1012.2920674833681,1012.2920674833681,1012.2920674833681,1012.2920674833681,design_optimisation\optim_out_v5_2\designs\cand_rank0093.csv
94,1738,0,1012.2924337062226,1012.2924337062226,1012.2924337062226,1012.2924337062226,design_optimisation\optim_out_v5_2\designs\cand_rank0094.csv
95,1907,0,1012.2926531044583,1012.2926531044583,1012.2926531044583,1012.2926531044583,design_optimisation\optim_out_v5_2\designs\cand_rank0095.csv
96,2287,0,1012.2937299579085,1012.2937299579085,1012.2937299579085,1012.2937299579085,design_optimisation\optim_out_v5_2\designs\cand_rank0096.csv
97,1411,0,1012.2939890358838,1012.2939890358838,1012.2939890358838,1012.2939890358838,design_optimisation\optim_out_v5_2\designs\cand_rank0097.csv
98,2368,0,1012.2941346362899,1012.2941346362899,1012.2941346362899,1012.2941346362899,design_optimisation\optim_out_v5_2\designs\cand_rank0098.csv
99,2042,0,1012.2942140064888,1012.2942140064888,1012.2942140064888,1012.2942140064888,design_optimisation\optim_out_v5_2\designs\cand_rank0099.csv
